Target	Observation arc	Moment of inertia factor	Precession of the ascending node	Equatorial surface gravity	Earth MOID	Synodic period	Mean anomaly	Pronunciation	Angular diameter	Dimensions	Named after	Surface temp.	Kelvin	Inclination	Alternative names	Average orbital speed	Equatorial escape velocity	Known satellites	Jupiter MOID	Axial tilt	Precession of perihelion	Volume	Semi-major axis	Perihelion	Escape velocity	Eccentricity	Mean motion	North pole declination	Temperature	Flattening	Proper semi-major axis	Spectral type	Rotation period	Apparent magnitude	Satellites	Adjectives	Proper mean motion	Mass	Minor planet category	Surface area	North pole right ascension	Discovered by	Longitude of ascending node	Mean density	Surface gravity	Argument of perihelion	Jupiter Tisserand parameter	Proper eccentricity	Equatorial rotation velocity	Sidereal rotation period	MPC designation	Mean radius	Geometric albedo	Discovery date	Orbital period	Proper orbital period	Absolute magnitude (H)	Aphelion	Proper inclination	Albedo	
(153591)_2001_SN263	9198 days (25.18 yr)	NULL	NULL	0.045 cm/s²	0.0504696 AU (7.55014 Gm)	NULL	297.359818°	NULL	NULL	2.8 km	NULL	NULL	NULL	6.6857915°	NULL	NULL	110 cm/s	NULL	2.11282 AU (316.073 Gm)	NULL	NULL	NULL	1.98683166 AU (297.225786 Gm)	1.03628119 AU (155.025459 Gm)	NULL	0.47842527	0° 21m 6.966s / day	NULL	NULL	NULL	NULL	C-complex	3.423 h (0.1426 d)	NULL	NULL	NULL	NULL	~1.5×1013 kg	Amor asteroid, NEO	NULL	NULL	LINEAR	325.831561°	1.3±0.6 g/cm³	NULL	172.862511°	NULL	NULL	NULL	NULL	NULL	1 km	0.05	20 September 2001	2.80 yr (1022.9 d)	NULL	16.9	2.93738213 AU (439.426112 Gm)	NULL	NULL	
25143_Itokawa	NULL	NULL	NULL	NULL	NULL	NULL	294.502°	NULL	NULL	535 × 294 × 209 m[1]	Hideo Itokawa	NULL	NULL	1.622°	1998 SF36	25.37 km/s	NULL	NULL	NULL	NULL	NULL	NULL	1.324 AU (198.044 Gm)	0.953 AU (142.568 Gm)	~0.2 m/s	0.280	NULL	NULL	~206 K	NULL	NULL	S	0.5055 d (12.132 h)[3]	NULL	NULL	NULL	NULL	(3.51±0.105)×1010 kg,[1] (3.58±0.18)×1010 kg[2]	Apollo asteroid,
Mars-crosser asteroid	NULL	NULL	LINEAR	69.095°	1.9 ±0.13 g/cm³,[1] 1.95 ± 0.14 g/cm³[2]	~0.1 mm/s²	162.760°	NULL	NULL	NULL	NULL	NULL	NULL	NULL	26 September 1998	1.52 a (556.355 d)	NULL	19.2	1.695 AU (253.520 Gm)	NULL	0.53[4]	
4_Vesta	NULL	NULL	−39.5979 (2182 years) arcsec / yr	NULL	NULL	NULL	20.86384°	/ˈvɛstə/	0.70″ to 0.22″	(572.6 × 557.2 × 446.4) ± 0.2 km[7]
525.4±0.2 km (mean)	Vesta	NULL	NULL	7.14043° to ecliptic
5.56° to invariable plane[4]	NULL	19.34 km/s	NULL	NULL	NULL	NULL	36.8729 (2343 years) arcsec / yr	7016746000000000000♠(7.46±0.3)×107 km3[b][9]	2.36179 AU	2.15221 AU	0.36  km/s	0.08874	NULL	NULL	min: 85 K (−188 °C)
max: 270 K (−3 °C)[13]	0.2204	2.36151 AU	V-type asteroid[5][14]	7004192326400000000♠0.2226 d (5.342 h)[5][10]	5.1[15] to 8.48	None	Vestan, Vestian[a]	99.1888 deg / yr	7020259076000000000♠(2.59076±0.00001)×1020 kg[7]	Main belt (Vesta family)	7011866000000000000♠(8.66±0.2)×105 km2[b][8]	NULL	Heinrich Wilhelm Olbers	103.85136°	(3.456 ± 0.035) g/cm³[7]	0.25 m/s2
0.025 g	151.19853°	NULL	0.098758	257.5 m/s[11]	NULL	NULL	NULL	NULL	29 March 1807	3.63 yr (7008114544800000000♠1325.75 d)	3.62944 yr
(1325.654 d)	3.20[5][12]	2.57138 AU	6.39234°	0.423 (geometric)[12]	
(136617)_1994_CC	9690 days (26.53 yr)	NULL	NULL	?×10-? m/s²	0.0164906 AU (2.46696 Gm)	NULL	38.86802°	NULL	NULL	0.700 km	NULL	NULL	NULL	4.6806°	none	? km/s	?×10-? km/s	NULL	2.88573 AU (431.699 Gm)	NULL	NULL	NULL	1.6378 AU (245.01 Gm)	0.95490 AU (142.851 Gm)	NULL	0.41695	0° 28m 12.889s / day	NULL	NULL	NULL	NULL	NULL	2.38860 h (0.099525 d)	NULL	NULL	NULL	NULL	?×10? kg	Apollo asteroid, Earth-crosser asteroid	NULL	NULL	Spacewatch	268.5650°	g/cm³	NULL	24.8612°	NULL	NULL	NULL	NULL	NULL	NULL	1.637	3 February 1994	2.10 yr (765.56 d)	NULL	17.7	2.3206 AU (347.16 Gm)	NULL	NULL	
(285263)_1998_QE2	6346 days (17.37 yr)	NULL	NULL	NULL	0.0327146 AU (4.89403 Gm)	NULL	252.96° (M)	NULL	NULL	2.75 kilometers (1.71 mi)[3]	NULL	NULL	NULL	12.859° (i)	NULL	NULL	NULL	1	1.24314 AU (185.971 Gm)	NULL	NULL	NULL	2.4229 AU (362.46 Gm) (a)	1.0376 AU (155.22 Gm) (q)	NULL	0.57173 (e)	0° 15m 40.824s / day (n)	NULL	NULL	NULL	NULL	NULL	4.749 h (0.1979 d)	11 to 23.9	NULL	NULL	NULL	NULL	Amor, NEO[2]	NULL	NULL	LINEAR	250.15° (Ω)	NULL	NULL	345.65° (ω)	3.239	NULL	NULL	NULL	NULL	NULL	0.06 (dark)[3]	19 August 1998	3.77 yr (1377.5 d)	NULL	16.4,[3] 17.3[2]	3.8081 AU (569.68 Gm) (Q)	NULL	NULL	
433_Eros	NULL	NULL	NULL	NULL	0.1492 AU	NULL	320.215°	NULL	NULL	34.4×11.2×11.2 km[1][2]
16.84[1] km (mean)	Eros	NULL	NULL	10.829°	1898 DQ; 1956 PC	24.36 km/s	NULL	NULL	NULL	NULL	NULL	NULL	1.458 AU	1.133 AU	0.0103 km/s	0.223	NULL	NULL	NULL	NULL	NULL	S[1]	0.2194 d (5 h 16 min)	+7.0[4] to +15	NULL	Erotian	NULL	(6.687±0.003)×1015 kg[3]	Amor I · Mars-crosser	NULL	NULL	Carl Gustav Witt	304.401°	2.67±0.03 g/cm³[1][3]	0.0059 m/s²	178.664°	NULL	NULL	NULL	NULL	NULL	NULL	NULL	August 13, 1898	1.76 yr (643 days)	NULL	11.16[1]	1.783 AU	NULL	0.25[1]	
Ceres_(dwarf_planet)	NULL	6999370000000000000♠0.37[9][b]	2998408299660000000♠−59.170034 arcsec / yr	NULL	NULL	466.6 d
1.278 yr	7000167532584102609♠95.9891°	/ˈsɪəriːz/	0.854″ to 0.339″	(7002965200000000000♠965.2 × 7002961200000000000♠961.2
× 7002891200000000000♠891.2) ± 2.0 km[6]	Cerēs	Surface temp.
min
mean
max


Kelvin
?
≈ 168 K[16]
235 K[17]	?	6999184882727663759♠10.593° to ecliptic
9.20° to invariable plane[3]	A899 OF; 1943 XB	7004179050000000000♠17.905 km/s	NULL	NULL	NULL	4°[11]	7001540702720000000♠54.070272 arcsec / yr	7017421000000000000♠421,000,000 km3[7]	7011414012107162250♠2.7675 AU
(7011414010000000000♠414,010,000 km)	7011382626473889390♠2.5577 AU
(7011382620000000000♠382,620,000 km)	0.51 km/s[7]	6998758230000000000♠0.075823	NULL	66.764°[11]	NULL	NULL	7000276709620000000♠2.7670962 AU	C[13]	NULL	6.64[14] to 9.34[15]	None	Cererian /sᵻˈrɪəriən/,
rarely Cererean /sɛrᵻˈriːən/[2]	78.193318 deg / yr	7020939300000000000♠(9.393±0.005)×1020 kg[6]
6996150000000000000♠0.00015 Earths
0.0128 Moons	Dwarf planet
Asteroid belt	7012277000000000000♠2,770,000 km2[7]	294.18°[11]	Giuseppe Piazzi	7000140201077082228♠80.3293°	7003216100000000000♠2.161±0.009 g/cm3[8]	0.28 m/s2[7]
0.029 g	7000126574768013133♠72.5220°	NULL	6999116197700000000♠0.1161977	7001926100000000000♠92.61 m/s[7]	7004326678400000000♠0.3781 d
7004326670120000000♠9.074170±0.000002 h[10]	1 Ceres	7005473000000000000♠473 km[6]	NULL	1 January 1801	4.60 yr
1,681.63 d	4.60397 yr
(1681.601 d)	7000336000000000000♠3.36±0.02[12]	7011445397740435110♠2.9773 AU
(7011445410000000000♠445,410,000 km)	6999168379107187070♠9.6474122°	6998900000000000000♠0.090±0.0033 (V-band geometric)[12]	
